ID1	type	ID2	type
hsa-let-7e-5p	miRNA	ENST00000515848	lncRNA
hsa-let-7e-5p	miRNA	ENST00000519690	lncRNA
hsa-let-7e-5p	miRNA	ENST00000519902	lncRNA
hsa-let-7e-5p	miRNA	ENST00000525152	lncRNA
hsa-let-7e-5p	miRNA	ENST00000527128	lncRNA
hsa-let-7e-5p	miRNA	ENST00000529472	lncRNA
hsa-let-7e-5p	miRNA	ENST00000530917	lncRNA
hsa-let-7e-5p	miRNA	ENST00000532383	lncRNA
hsa-let-7e-5p	miRNA	ENST00000532516	lncRNA
hsa-let-7e-5p	miRNA	ENST00000533451	lncRNA
hsa-let-7e-5p	miRNA	ENST00000535236	lncRNA
hsa-let-7e-5p	miRNA	ENST00000541782	lncRNA
hsa-let-7e-5p	miRNA	ENST00000547247	lncRNA
hsa-let-7e-5p	miRNA	ENST00000547361	lncRNA
hsa-let-7e-5p	miRNA	ENST00000549154	lncRNA
hsa-let-7e-5p	miRNA	ENST00000549983	lncRNA
hsa-let-7e-5p	miRNA	ENST00000551941	lncRNA
hsa-let-7e-5p	miRNA	ENST00000552875	lncRNA
hsa-let-7e-5p	miRNA	ENST00000553189	lncRNA
hsa-let-7e-5p	miRNA	ENST00000555369	lncRNA
hsa-let-7e-5p	miRNA	ENST00000555579	lncRNA
hsa-let-7e-5p	miRNA	ENST00000556408	lncRNA
hsa-let-7e-5p	miRNA	ENST00000558278	lncRNA
hsa-let-7e-5p	miRNA	ENST00000560854	lncRNA
hsa-let-7e-5p	miRNA	ENST00000560915	lncRNA
hsa-let-7e-5p	miRNA	ENST00000564161	lncRNA
hsa-let-7e-5p	miRNA	ENST00000567216	lncRNA
hsa-let-7e-5p	miRNA	ENST00000577214	lncRNA
hsa-let-7e-5p	miRNA	ENST00000577583	lncRNA
hsa-let-7e-5p	miRNA	ENST00000584377	lncRNA
hsa-let-7e-5p	miRNA	ENST00000586109	lncRNA
hsa-let-7e-5p	miRNA	ENST00000587640	lncRNA
hsa-let-7e-5p	miRNA	ENST00000604346	lncRNA
hsa-let-7e-5p	miRNA	ENST00000609401	lncRNA
hsa-let-7e-5p	miRNA	ENST00000623461	lncRNA
hsa-let-7e-5p	miRNA	ENST00000624215	lncRNA
hsa-let-7e-5p	miRNA	ENST00000636169	lncRNA
hsa-let-7e-5p	miRNA	ENST00000636184	lncRNA
hsa-let-7e-5p	miRNA	ENST00000637722	lncRNA
hsa-let-7e-5p	miRNA	ENST00000640411	lncRNA
hsa-let-7e-5p	miRNA	ENST00000641759	lncRNA
hsa-let-7e-5p	miRNA	ENST00000644794	lncRNA
hsa-let-7e-5p	miRNA	ENST00000646093	lncRNA
hsa-let-7e-5p	miRNA	ENST00000647927	lncRNA
hsa-let-7e-5p	miRNA	ENST00000649146	lncRNA
hsa-let-7e-5p	miRNA	ENST00000650443	lncRNA
hsa-let-7e-5p	miRNA	ENST00000651941	lncRNA
hsa-let-7e-5p	miRNA	ENST00000662959	lncRNA
hsa-let-7e-5p	miRNA	TCONS_00330594	lncRNA
hsa-let-7f-5p	miRNA	ENST00000342427	gene
hsa-let-7f-5p	miRNA	ENST00000377320	lncRNA
hsa-let-7f-5p	miRNA	ENST00000435411	lncRNA
hsa-let-7f-5p	miRNA	ENST00000441340	lncRNA
hsa-let-7f-5p	miRNA	ENST00000452172	lncRNA
hsa-let-7f-5p	miRNA	ENST00000463024	lncRNA
hsa-let-7f-5p	miRNA	ENST00000463515	lncRNA
hsa-let-7f-5p	miRNA	ENST00000464048	lncRNA
hsa-let-7f-5p	miRNA	ENST00000464428	lncRNA
hsa-let-7f-5p	miRNA	ENST00000465425	lncRNA
hsa-let-7f-5p	miRNA	ENST00000471451	lncRNA
hsa-let-7f-5p	miRNA	ENST00000475687	lncRNA
hsa-let-7f-5p	miRNA	ENST00000478018	lncRNA
hsa-let-7f-5p	miRNA	ENST00000478068	lncRNA
hsa-let-7f-5p	miRNA	ENST00000479811	lncRNA
hsa-let-7f-5p	miRNA	ENST00000484749	lncRNA
hsa-let-7f-5p	miRNA	ENST00000504824	lncRNA
hsa-let-7f-5p	miRNA	ENST00000512266	lncRNA
hsa-let-7f-5p	miRNA	ENST00000553041	lncRNA
hsa-let-7f-5p	miRNA	ENST00000553123	lncRNA
hsa-let-7f-5p	miRNA	ENST00000554003	lncRNA
hsa-let-7f-5p	miRNA	ENST00000558362	lncRNA
hsa-let-7f-5p	miRNA	ENST00000562966	lncRNA
hsa-let-7f-5p	miRNA	ENST00000567034	lncRNA
hsa-let-7f-5p	miRNA	ENST00000574494	lncRNA
hsa-let-7f-5p	miRNA	ENST00000576917	lncRNA
hsa-let-7f-5p	miRNA	ENST00000585253	lncRNA
hsa-let-7f-5p	miRNA	ENST00000592712	lncRNA
hsa-let-7f-5p	miRNA	ENST00000597230	lncRNA
hsa-let-7f-5p	miRNA	ENST00000612839	lncRNA
hsa-let-7f-5p	miRNA	ENST00000618698	lncRNA
hsa-let-7f-5p	miRNA	ENST00000640078	lncRNA
hsa-let-7f-5p	miRNA	ENST00000646507	lncRNA
hsa-let-7f-5p	miRNA	ENST00000651261	lncRNA
hsa-let-7f-5p	miRNA	ENST00000653359	lncRNA
hsa-let-7f-5p	miRNA	ENST00000655034	lncRNA
hsa-let-7f-5p	miRNA	ENST00000656024	lncRNA
hsa-let-7f-5p	miRNA	ENST00000656379	lncRNA
hsa-let-7f-5p	miRNA	ENST00000661696	lncRNA
hsa-let-7f-5p	miRNA	ENST00000669314	lncRNA
hsa-let-7f-5p	miRNA	TCONS_00076207	lncRNA
hsa-let-7f-5p	miRNA	TCONS_00112295	lncRNA
hsa-let-7f-5p	miRNA	TCONS_00387188	lncRNA
hsa-let-7g-3p	miRNA	ENST00000324679	gene
hsa-let-7g-3p	miRNA	ENST00000369037	gene
hsa-let-7g-3p	miRNA	ENST00000373816	gene
hsa-let-7g-3p	miRNA	ENST00000378726	lncRNA
hsa-let-7g-3p	miRNA	ENST00000408005	lncRNA
